#,Time,Gender,Name,Nationality,Date,Meet,Location,Stroke,Age 
3,28.71,Female,Sandra Völker, Germany,1999,European Championships,"Istanbul, Turkey",Backstroke,25
4,28.69,Female,Nina Zhivanevskaya, Spain,2000,Spain Spring Nationals,"Madrid, Spain",Backstroke,23
5,28.67,Female,Mai Nakamura, Japan,2000,Japan Championships,"Tokyo, Japan",Backstroke,21
6,28.25,Female,Sandra Völker, Germany,2000,Germany Championships,"Berlin, Germany",Backstroke,26
7,28.19,Female,Janine Pietsch, Germany,2005,Germany Championships,"Berlin, Germany",Backstroke,23
8,28.16,Female,Leila Vaziri, United States,2007,World Championships,"Melbourne, Australia",Backstroke,22
8,28.16,Female,Leila Vaziri, United States,2007,World Championships,"Melbourne, Australia",Backstroke,22
9,28.09,Female,Li Yang, China,2007,World Military Games,"Hyderabad, India",Backstroke,
10,28,Female,Hayley McGregory, United States,2008,Texas Senior Circuit Championships,"Austin, United States",Backstroke,22
11,27.95,Female,Emily Seebohm, Australia,2008,Australia Championships,"Sydney, Australia",Backstroke,16
12,27.67,Female,Sophie Edington, Australia,2008,Australia Championships,"Sydney, Australia",Backstroke,24
12,27.67,Female,Zhao Jing, China,2009,China Championships,"Shaoxing, China",Backstroke,19
13,27.61,Female,Daniela Samulski, Germany,2009,Germany Championships,"Berlin, Germany",Backstroke,25
14,27.39,Female,Daniela Samulski, Germany,2009,World Championships,"Rome, Italy",Backstroke,25
15,27.38,Female,Anastasia Zuyeva, Russia,2009,World Championships,"Rome, Italy",Backstroke,19
16,27.06,Female,Zhao Jing, China,2009,World Championships,"Rome, Italy",Backstroke,19
17,26.98,Female,Liu Xiang, China,2018,Asian Games,"Jakarta, Indonesia",Backstroke,22
